mean_test_root_mean_squared_error,mean_test_mean_squared_error,mean_test_mean_absolute_error,mean_test_r2_error,params
2925.1957234989973,8561303.175568765,1922.5688705891428,0.5816402368615695,"{'metric': 'chebyshev', 'n_neighbors': 50, 'weights': 'distance'}"
2928.7322524923584,8581724.93784838,1923.2743281722808,0.5806215863683569,"{'metric': 'chebyshev', 'n_neighbors': 20, 'weights': 'distance'}"
2930.060672036901,8590822.343430502,1938.885925387597,0.5802562804123877,"{'metric': 'chebyshev', 'n_neighbors': 30, 'weights': 'uniform'}"
2931.6351389552824,8600795.042155622,1944.2725145348834,0.5798080866968566,"{'metric': 'chebyshev', 'n_neighbors': 25, 'weights': 'uniform'}"
2933.1542831483966,8609626.324486928,1945.1781388427464,0.5793719182361704,"{'metric': 'chebyshev', 'n_neighbors': 35, 'weights': 'uniform'}"
2934.885301073784,8619082.739507327,1943.4382328003876,0.5788611859714021,"{'metric': 'chebyshev', 'n_neighbors': 20, 'weights': 'uniform'}"
2937.161920547684,8632647.440686395,1948.8420815164727,0.5782182125907974,"{'metric': 'chebyshev', 'n_neighbors': 40, 'weights': 'uniform'}"
2937.9518507251487,8636061.080020996,1939.819840116279,0.5779744574490853,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}"
2941.833449267084,8658424.327753393,1928.2248968379897,0.5768598401121022,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'distance'}"
2942.5216987978674,8663930.92240292,1953.274636627907,0.5766760922623294,"{'metric': 'chebyshev', 'n_neighbors': 45, 'weights': 'uniform'}"
2948.081263683747,8696403.360418411,1954.5849709302329,0.5750740809102948,"{'metric': 'chebyshev', 'n_neighbors': 50, 'weights': 'uniform'}"
2950.2521821427713,8707119.935474807,1946.8451792635658,0.5744104794139984,"{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'uniform'}"
2955.3451915738246,8739394.861845931,1895.3633963178293,0.572954916393639,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}"
2963.466892188082,8787581.50975423,1891.5779988115037,0.5706198606678313,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}"
2967.904308589796,8811795.2169759,1945.1735383160858,0.5693126373569501,"{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'}"
3049.0297841887573,9299795.002756782,2005.6054021317832,0.5454080823764821,"{'metric': 'chebyshev', 'n_neighbors': 5, 'weights': 'uniform'}"
3069.2877039517753,9424312.342255259,2005.2248766297325,0.5393877552609017,"{'metric': 'chebyshev', 'n_neighbors': 5, 'weights': 'distance'}"
